name,category,import_dependency,origin_country,hts_code,tariff_rate,REVIEW_NEEDED
Bananas,Fresh Produce,High,Guatemala,0803.90.00,0.00,Primary source can vary by season (Guatemala/Ecuador/Costa Rica).
Apples,Fresh Produce,Low,United States,0808.10.00,0.00,
Oranges,Fresh Produce,Low,United States,0805.10.00,0.00,
Strawberries,Fresh Produce,Medium,Mexico,0810.10.20,0.00,MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Blueberries,Fresh Produce,Medium,Peru,0810.40.00,0.00,Primary source can vary by season (Peru/Chile/Mexico).
Avocados,Fresh Produce,High,Mexico,0804.40.00,0.00,MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Tomatoes,Fresh Produce,High,Mexico,0702.00.20,0.00,Origin can shift seasonally between Mexico and Canada. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Onions,Fresh Produce,Low,United States,0703.10.40,0.00,
Potatoes,Fresh Produce,Low,United States,0701.90.10,0.00,
Spinach,Fresh Produce,Low,United States,0709.70.00,0.00,
Broccoli,Fresh Produce,Medium,Mexico,0704.10.20,0.00,Origin can shift seasonally between Mexico and U.S. supply.
Bell Peppers,Fresh Produce,High,Mexico,0709.60.40,0.00,MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Carrots,Fresh Produce,Low,United States,0706.10.05,0.00,
Lettuce,Fresh Produce,Low,United States,0705.19.20,0.00,
Garlic,Fresh Produce,High,China,0703.20.00,25.00,MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model. | Includes Section 301 additional duty from 9903.88.03 (+25%).
Whole Milk,Dairy & Eggs,Low,United States,0401.20.40,0.00,HTS line is quota-sensitive; confirm if product should be import-coded at all.
Almond Milk,Dairy & Eggs,Medium,Canada,2202.99.91,0.00,Country of origin may be U.S. for many brands; confirm SKU-specific source. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Cheddar Cheese,Dairy & Eggs,Low,United States,0406.90.95,0.00,Cheddar has multiple quota/quality lines; confirm exact line for imported cheddar SKUs.
Mozzarella Cheese,Dairy & Eggs,Low,United States,0406.10.48,0.00,Mozzarella line may vary by moisture/content and quota status.
Greek Yogurt,Dairy & Eggs,Low,United States,0403.20.90,0.00,Yogurt tariff lines vary by quota treatment and composition.
Butter,Dairy & Eggs,Low,United States,0405.10.20,0.00,Butter line may vary by quota eligibility.
Eggs,Dairy & Eggs,Low,United States,0407.21.00,0.00,
Heavy Cream,Dairy & Eggs,Low,United States,0401.50.50,0.00,Cream tariff lines vary by fat content and quota treatment.
Sour Cream,Dairy & Eggs,Low,United States,0403.90.72,0.00,Sour cream can classify under multiple fermented dairy lines.
Parmesan Cheese,Dairy & Eggs,High,Italy,0406.90.97,0.00,Cheese line includes quota overlays; verify exact product specs. | MFN duty is specific (non-ad valorem); stored 0.00 for ad valorem-only model.
Chicken Breast,Meat & Seafood,Low,United States,0207.14.00,0.00,Could classify differently for fresh/chilled vs frozen retail pack.
Ground Beef,Meat & Seafood,Low,United States,0201.30.04,0.00,Ground beef does not map cleanly to a single boneless beef line; confirm exact HTS.
Pork Chops,Meat & Seafood,Low,United States,0203.19.40,0.00,
Bacon,Meat & Seafood,Low,United States,0210.12.00,0.00,Bacon classifications vary with curing/smoking detail.
